 time            vo1             p1              p2             
 1.50510000e-06  1.00423978e+00  0.00000000e+00  0.00000000e+00 
 1.50511000e-06  1.00423978e+00  0.00000000e+00  1.80000000e-01 
 1.50512778e-06  1.00423978e+00  0.00000000e+00  5.00000000e-01 
 1.50513264e-06  1.00423978e+00  0.00000000e+00  5.87500000e-01 
 1.50514115e-06  1.00423978e+00  0.00000000e+00  7.40625000e-01 
 1.50515056e-06  2.54361619e-01  0.00000000e+00  9.10156250e-01 
 1.50516498e-06  2.54605455e-01  0.00000000e+00  1.16959600e+00 
 1.50518095e-06  2.54901951e-01  0.00000000e+00  1.45705721e+00 
 1.50520000e-06  2.55266254e-01  0.00000000e+00  1.80000000e+00 
 1.50520319e-06  2.55328287e-01  0.00000000e+00  1.80000000e+00 
 1.50520958e-06  2.55452342e-01  0.00000000e+00  1.80000000e+00 
 1.50522236e-06  2.55700396e-01  0.00000000e+00  1.80000000e+00 
 1.50524791e-06  2.56196274e-01  0.00000000e+00  1.80000000e+00 
 1.50529901e-06  2.57187106e-01  0.00000000e+00  1.80000000e+00 
 1.50540122e-06  2.59165071e-01  0.00000000e+00  1.80000000e+00 
 1.50560564e-06  2.63106253e-01  0.00000000e+00  1.80000000e+00 
 1.50601447e-06  2.70930008e-01  0.00000000e+00  1.80000000e+00 
 1.50683214e-06  2.86346164e-01  0.00000000e+00  1.80000000e+00 
 1.50767712e-06  3.01958192e-01  0.00000000e+00  1.80000000e+00 
 1.50884779e-06  3.23064606e-01  0.00000000e+00  1.80000000e+00 
 1.51008124e-06  3.44661645e-01  0.00000000e+00  1.80000000e+00 
 1.51160097e-06  3.70395667e-01  0.00000000e+00  1.80000000e+00 
 1.51322658e-06  3.96889146e-01  0.00000000e+00  1.80000000e+00 
 1.51515045e-06  4.26919904e-01  0.00000000e+00  1.80000000e+00 
 1.51725103e-06  4.58143161e-01  0.00000000e+00  1.80000000e+00 
 1.51971721e-06  4.92823000e-01  0.00000000e+00  1.80000000e+00 
 1.52248501e-06  5.29347626e-01  0.00000000e+00  1.80000000e+00 
 1.52577873e-06  5.69733067e-01  0.00000000e+00  1.80000000e+00 
 1.52962689e-06  6.13006861e-01  0.00000000e+00  1.80000000e+00 
 1.53438517e-06  6.61233581e-01  0.00000000e+00  1.80000000e+00 
 1.54032613e-06  7.14170698e-01  0.00000000e+00  1.80000000e+00 
 1.54830338e-06  7.74359590e-01  0.00000000e+00  1.80000000e+00 
 1.55830338e-06  8.35240010e-01  0.00000000e+00  1.80000000e+00 
 1.56830338e-06  8.82958169e-01  0.00000000e+00  1.80000000e+00 
 1.57830338e-06  9.20228673e-01  0.00000000e+00  1.80000000e+00 
 1.58830338e-06  9.49291044e-01  0.00000000e+00  1.80000000e+00 
 1.59830338e-06  9.71935372e-01  0.00000000e+00  1.80000000e+00 
 1.60830338e-06  9.89572527e-01  0.00000000e+00  1.80000000e+00 
 1.61830338e-06  1.00330733e+00  0.00000000e+00  1.80000000e+00 
 1.62830338e-06  1.01400232e+00  0.00000000e+00  1.80000000e+00 
 1.63830338e-06  1.02232996e+00  0.00000000e+00  1.80000000e+00 
